Employee Name,Employee ID,Work Date,Clock In,Clock Out,Break Start,Break End,Break Minutes,Location,Notes
Alex Green,E100,2026-06-30,09:00,17:30,13:00,13:30,30,HQ,Clean record
Bailey Stone,E101,2026-06-30,09:00,,13:00,13:30,30,HQ,Missing clock out
Casey Hall,E102,2026-06-30,,17:00,12:00,12:30,30,Remote,Missing clock in
Drew Lane,E103,2026-06-30,08:00,17:00,,,0,HQ,Missing break
Evan Cole,E104,2026-06-30,08:00,17:00,12:00,12:10,10,Site A,Short break
Flynn Reed,E105,2026-06-30,08:00,18:00,12:00,13:45,105,Site B,Long break
Gray Kim,E106,2026-06-30,06:00,22:00,12:00,12:30,30,HQ,Very long shift
Harper Lee,E107,2026-06-30,09:00,10:00,,,0,HQ,Very short shift
Indy Ray,E108,2026-06-30,09:00,17:00,12:00,12:30,30,HQ,Duplicate row 1
Indy Ray,E108,2026-06-30,09:00,17:00,12:00,12:30,30,HQ,Duplicate row 2
Jules Park,E109,2026-06-30,08:00,12:00,,,0,HQ,Overlap row 1
Jules Park,E109,2026-06-30,11:00,16:00,,,0,HQ,Overlap row 2
Kai Moss,E110,2026-07-04,09:00,13:00,,,0,HQ,Weekend shift
